word,frequencies
iaculis,5
a,7
ligula,4
malesuada,2
finibus,2
platea,1
sed,7
aliquet,2
augue,3
Pellentesque,4
Proin,3
vitae,4
nulla,6
Vestibulum,3
scelerisque,3
curae;,1
eros,3
nisi,2
hac,1
sapien,7
et,10
ac,3
orci,3
pellentesque,3
vulputate,2
ante,6
eleifend,6
eu,6
vel,3
quam,1
ultricies,2
fames,1
facilisis,3
vehicula,4
erat,1
rhoncus,4
Mauris,2
fringilla,1
Nullam,3
primis,2
cubilia,1
tincidunt,6
placerat,1
mauris,5
mi,6
gravida,3
In,4
Lorem,1
sit,7
non,4
leo,2
convallis,1
Maecenas,3
sem,4
lorem,3
feugiat,2
egestas,1
elit,3
laoreet,2
Nulla,4
Nam,1
Curabitur,1
adipiscing,1
Phasellus,2
Aliquam,1
viverra,4
luctus,3
Sed,2
sodales,1
metus,5
tempor,3
varius,1
dictumst,1
dapibus,1
dolor,3
efficitur,2
Ut,3
rutrum,1
risus,2
Integer,2
ultrices,4
nunc,3
semper,3
lacus,6
fermentum,3
turpis,2
imperdiet,1
tellus,6
condimentum,2
id,5
urna,2
Vivamus,4
lobortis,2
quis,7
porttitor,4
odio,2
pretium,2
consectetur,2
nisl,3
nibh,3
nec,4
bibendum,1
interdum,4
posuere,4
volutpat,1
amet,7
congue,3
elementum,2
ornare,6
hendrerit,1
molestie,1
Fusce,1
Donec,4
Morbi,2
auctor,4
tristique,2
habitasse,1
euismod,1
Praesent,2
faucibus,3
ullamcorper,2
accumsan,1
pulvinar,5
libero,2
sollicitudin,4
commodo,5
in,7
aliquam,1
consequat,1
Duis,2
dignissim,2
enim,2
ipsum,6
at,7
neque,5
felis,2
purus,2
maximus,1
Nunc,3
Quisque,2
mollis,2
est,4
suscipit,1
mattis,3
tempus,3
venenatis,4
cursus,1
Etiam,1
ut,7
eget,4
ex,4
arcu,1
Interdum,1
blandit,5
velit,2
justo,3
tortor,3
porta,2
vestibulum,1
